resale_price,lease_remain_years,bhk,floor,address_encoded_numeric
465000.0,76,5,5.0,20
465000.0,75,5,5.0,20
465888.0,79,5,17.0,20
470000.0,74,5,11.0,20
475000.0,77,5,17.0,20
480000.0,77,5,8.0,20
485000.0,76,5,14.0,20
488000.0,78,5,8.0,20
500000.0,78,5,14.0,20
518168.0,77,5,17.0,20
522888.88,80,5,20.0,20
525000.0,77,5,17.0,20
550000.0,77,5,14.0,20
585000.0,82,5,17.0,20
285000.0,62,3,2.0,20
292000.0,61,3,2.0,20
295000.0,60,3,2.0,20
307000.0,62,3,5.0,20
315000.0,60,3,5.0,20
330000.0,61,3,5.0,20
368000.0,60,3,11.0,20
368000.0,64,3,5.0,20
395000.0,61,3,11.0,20
410000.0,62,3,8.0,20
365000.0,61,4,8.0,20
365000.0,61,4,2.0,20
375000.0,68,4,2.0,20
388000.0,61,4,8.0,20
405000.0,74,4,11.0,20
438000.0,62,4,2.0,20
450000.0,61,4,5.0,20
460000.0,60,4,11.0,20
468000.0,60,4,11.0,20
475000.0,60,4,8.0,20
480000.0,61,4,2.0,20
480000.0,61,4,5.0,20
490000.0,61,4,11.0,20
490000.0,61,4,8.0,20
510000.0,75,4,5.0,20
525000.0,65,4,5.0,20
580000.0,64,4,11.0,20
582500.0,65,4,11.0,20
618000.0,65,4,5.0,20
620000.0,65,4,5.0,20
488000.0,73,5,8.0,20
495000.0,74,5,11.0,20
500000.0,61,5,8.0,20
520000.0,68,5,8.0,20
563000.0,73,5,8.0,20
675000.0,61,5,8.0,20
300000.0,61,3,5.0,20
305000.0,60,3,5.0,20
308000.0,60,3,2.0,20
312000.0,63,3,2.0,20
315000.0,63,3,5.0,20
320000.0,61,3,2.0,20
325000.0,61,3,11.0,20
328000.0,60,3,8.0,20
330000.0,61,3,5.0,20
331000.0,60,3,5.0,20
333000.0,61,3,8.0,20
340000.0,60,3,2.0,20
341000.0,61,3,8.0,20
343000.0,60,3,5.0,20
345000.0,60,3,8.0,20
345000.0,61,3,5.0,20
348000.0,60,3,5.0,20
348000.0,61,3,11.0,20
350000.0,62,3,11.0,20
350000.0,64,3,8.0,20
355000.0,60,3,11.0,20
365000.0,60,3,11.0,20
368000.0,61,3,2.0,20
370000.0,60,3,8.0,20
410000.0,60,3,8.0,20
369000.0,63,4,8.0,20
370000.0,64,4,8.0,20
378000.0,73,4,8.0,20
380000.0,69,4,2.0,20
383000.0,63,4,5.0,20
385000.0,64,4,2.0,20
385000.0,62,4,8.0,20
